,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
5526,2/2016,273.63208907355795,4858.117018018589,7.0375,20.981580788099897,33.6958,0.0187418199157853
5527,2/2016,279.1419153933031,4948.591948211513,7.075,20.9827866071262,33.7897,0.0184192119001025
5528,2/2016,287.1683865918083,5076.26067358914,7.112500000000001,20.985364852867,33.9392,0.0172133928738027
5529,2/2016,297.822982097194,5241.4039668842015,7.15,20.989911075555757,34.15,0.0146351471329992
5530,2/2016,304.23880068763685,5311.664058402794,6.96,20.99315690537026,34.294,0.010088924444247
5531,2/2016,312.0113602533584,5400.529370502692,6.77,20.995330807713245,34.4622,0.0068430946297404
5532,2/2016,320.4530912115589,5496.6110520127495,6.58,20.99668963120867,34.6462,0.0046691922867552
5533,2/2016,329.0899073762917,5592.453248375229,6.39,20.997466659564555,34.8387,0.0033667746017798
5534,2/2016,337.6694614236708,5684.673142470017,6.2025,20.99788783796329,35.0351,0.0026540334080458
5535,2/2016,345.8759190468522,5768.640509877025,6.015,20.99807806458387,35.229,0.0022733537366903
5536,2/2016,353.49638664839347,5841.799989991014,5.8275,20.99809397864852,35.4154,0.0021108612245548
5537,2/2016,360.3140697892312,5901.707240377891,5.64,20.997922252182985,35.5892,0.0021208244445745
5538,2/2016,366.018838210746,5944.434192096155,5.449999999999999,20.9974350341304,35.7435,0.0025649658696025
5539,2/2016,370.4579473544957,5969.064454626907,5.26,20.99647097222268,35.8743,0.0035290277773185
5540,2/2016,373.4588198816095,5974.097436410987,5.07,20.99480020401441,35.9768,0.0051997959855896
5541,2/2016,374.99560978610543,5960.043320334134,4.88,20.992133693524757,36.0486,0.0078663064752468
5542,2/2016,379.1049911626606,5997.775717328577,4.8075,20.99018295226885,36.1585,0.0098170477311541
5543,2/2016,382.4474553822485,6024.8394704510165,4.734999999999999,20.98885311882556,36.2559,0.0111468811744437
5544,2/2016,385.3831819755426,6046.538742527906,4.6625,20.98802386069684,36.3445,0.0119761393031581
5545,2/2016,388.1347909687542,6066.043516586264,4.59,20.98757473097511,36.4267,0.0124252690248916
5546,2/2016,390.7291706537619,6083.415477840596,4.515,20.98735352046989,36.5027,0.0126464795301082
5547,2/2016,393.2709432076168,6100.395929658342,4.44,20.987260541237585,36.5744,0.012761441993053
5548,2/2016,395.72431495287736,6116.463359296283,4.365,20.987208526897277,36.6418,0.0128419454175983
5549,2/2016,398.0173051528825,6130.645441823035,4.29,20.98711694570325,36.704,0.0128961615485749
