,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,comfort_deviation
4752,2/2016,91.09628498910683,1832.5979739749885,2.6950000000000003,21.031129817660428,24.5599,0.0
4753,2/2016,90.15967702072656,1818.0071684549991,2.77,21.029895208200188,24.5356,0.0
4754,2/2016,89.31838480814396,1805.2839947189143,2.8475,21.028721330490978,24.513,0.0
4755,2/2016,88.51723564711901,1793.2671183736677,2.925,21.027607510347227,24.4911,0.0
4756,2/2016,87.75696867026645,1781.9767090472565,3.0025,21.026553192770344,24.47,0.0
4757,2/2016,87.0488168357914,1771.6381399974548,3.08,21.02555795505491,24.4498,0.0
4758,2/2016,86.32689530143385,1760.870106876975,3.155,21.02461469638359,24.4293,0.0
4759,2/2016,85.6906831959734,1751.723784936784,3.23,21.02372326251153,24.4104,0.0
4760,2/2016,85.12280364299868,1743.8686479636003,3.305,21.022883703423958,24.3927,0.0
4761,2/2016,84.59158273444314,1736.6886694166471,3.38,21.02209620097156,24.3758,0.0
4762,2/2016,83.75381929963049,1722.9241305235046,3.4425,21.02132689030948,24.3526,0.0
4763,2/2016,82.91002659148562,1708.9758593245049,3.505,21.02057571269146,24.3293,0.0
4764,2/2016,82.07397458068917,1695.116603059402,3.5675,21.019842604218063,24.3061,0.0
4765,2/2016,81.19914012831961,1680.4205660581367,3.63,21.01912745029964,24.2821,0.0
4766,2/2016,80.35640379603679,1666.389184765833,3.695,21.0184368536678,24.2587,0.0
4767,2/2016,79.51178867978524,1652.2533590518767,3.76,21.017770605855087,24.2353,0.0
4768,2/2016,78.58591150403447,1636.419989848038,3.825,21.017128379121388,24.2102,0.0
4769,2/2016,77.6536094956255,1620.3827402324555,3.89,21.016509725103745,24.185,0.0
4770,2/2016,76.67249287069487,1603.2857630399533,3.955,21.01591412177252,24.1587,0.0
4771,2/2016,75.64592851009932,1585.18981627408,4.0200000000000005,21.015340921430568,24.1315,0.0
4772,2/2016,74.60907301706999,1566.8004825966327,4.085,21.01478940820284,24.104,0.0
4773,2/2016,73.48499122558722,1546.5525531477963,4.15,21.01425873982849,24.0746,0.0
4774,2/2016,72.74762144757166,1534.5889501923848,4.23,21.013788902408137,24.0532,0.0
4775,2/2016,71.96419088686541,1521.616271871737,4.3100000000000005,21.01337927398306,24.0309,0.0
4776,2/2016,71.1951007284851,1508.8644365092423,4.39,21.01302919717472,24.0088,0.0
4777,2/2016,70.41524081750357,1495.8198621821273,4.47,21.01273802902666,23.9864,0.0
4778,2/2016,69.64147530970806,1482.827997186146,4.55,21.01250512935477,23.9641,0.0
4779,2/2016,68.87906516247855,1469.998289260153,4.63,21.012329891992906,23.942,0.0
4780,2/2016,68.13471023089738,1457.4710832200476,4.71,21.012211760953917,23.9203,0.0
4781,2/2016,67.40578845616061,1445.1946659582056,4.79,21.012150234804015,23.8988,0.0
4782,2/2016,66.73115872242681,1433.9798646678282,4.87,21.012144917734144,23.8783,0.0
4783,2/2016,66.0488862755157,1422.5429909182062,4.95,21.012195482342563,23.8577,0.0
4784,2/2016,65.46482616477678,1413.0964133641269,5.03,21.012301733251537,23.8391,0.0
4785,2/2016,64.87314603804464,1403.436242395558,5.11,21.0124636011118,23.8203,0.0
4786,2/2016,64.85946989422153,1406.5414344056271,5.2125,21.01274241846088,23.8138,0.0
4787,2/2016,64.94110047660055,1411.6488899136127,5.315,21.013138827444447,23.8094,0.0
4788,2/2016,65.02162269940476,1416.7367246122078,5.4175,21.013653580171656,23.8051,0.0
4789,2/2016,65.19200316654849,1423.729156516189,5.52,21.014287530212044,23.8029,0.0
4790,2/2016,65.45601866052905,1432.7180876629895,5.6225,21.01504176756901,23.8028,0.0
4791,2/2016,65.80301817911362,1443.489036557571,5.725,21.0159176021202,23.8046,0.0
4792,2/2016,66.18592474880295,1455.050070705487,5.8275,21.01691647248496,23.8074,0.0
4793,2/2016,66.64517600744146,1468.2675015963812,5.93,21.018039933906486,23.8119,0.0
