,dataset_id,Q_el_HP,Q_HP,t_amb,t_indoor,t_hp,blow_air,gains,comfort_deviation
10320,10/2016,91.67316328806912,2120.359825432776,8.76,21.27469171590577,24.308,,1966.6,0.0
10321,10/2016,129.70493656918185,2945.5687015634494,8.77,21.276547014654287,25.1024,,1966.6,0.0
10322,10/2016,104.08320888404698,2393.0526976012497,8.78,21.278520559170047,24.5827,,1966.6,0.0
10323,10/2016,339.02881613643206,7018.920873221083,8.79,21.280892684495047,29.0228,False,1966.6,0.0
10324,10/2016,197.7272298799774,4333.822173053777,8.6375,21.28334370846596,26.4926,,1966.6,0.0
10325,10/2016,1.1744791652954558,28.23847805861285,8.485,21.285381164915474,22.3853,,1966.6,0.0
10326,10/2016,14.274113594297969,339.8942534299041,8.3325,21.286739169184063,22.6688,,1966.6,0.0
10327,10/2016,456.3449047015303,8913.546839106744,8.18,21.28805239067759,30.876,False,1966.6,0.0
10328,10/2016,82.83634111849065,1891.4152362243624,8.0275,21.289415847274384,24.2031,,1966.6,0.0
10329,10/2016,72.85184159729042,1666.4787010311782,7.875,21.29032452681987,23.9873,,1966.6,0.0
10330,10/2016,452.6192758605796,8768.958493721624,7.7225,21.29126642461089,30.7944,,1966.6,0.0
10331,10/2016,4.512054820711393,106.04712564474949,7.57,21.292118863120518,22.5464,False,1966.6,0.0
10332,10/2016,289.03073055980684,5935.640492415885,7.42,21.292696993628248,28.1197,,1966.6,0.0
10333,10/2016,79.93200404116594,1796.7926954477675,7.27,21.29311601816238,24.1846,,1966.6,0.0
10334,10/2016,246.03016878618283,5111.884547798227,7.12,21.293322161055286,27.3611,,1966.6,0.0
10335,10/2016,9.570430047494977,221.32700965764084,6.97,21.293203782313498,22.6979,False,1966.6,0.0
10336,10/2016,-4.334971890475646,-101.00507945041328,6.967499999999999,21.292804757943845,22.3734,,1966.6,0.0
10337,10/2016,84.04279357094397,1874.054690336451,6.965,21.292249708982716,24.2491,,1966.6,0.0
10338,10/2016,2.6575653040921217,61.71811551400331,6.9625,21.291553146051022,22.5104,,1966.6,0.0
10339,10/2016,-0.4829754628031022,-11.238315617634548,6.96,21.290590322600128,22.4241,False,1966.6,0.0
10340,10/2016,20.04726448639461,461.7350172523481,6.9575,21.289397980246893,22.8609,,1966.6,0.0
10341,10/2016,40.61157394789012,925.9296111602604,6.955,21.288048481105164,23.2935,,1966.6,0.0
10342,10/2016,23.76380734201112,546.5081649847953,6.952500000000001,21.28655247146026,22.9213,,1966.6,0.0
10343,10/2016,72.93755773625007,1637.1690283838675,6.95,21.284964676100756,23.9554,False,1966.6,0.0
10344,10/2016,107.51509604346144,2373.492700738182,6.9475,21.28341419438671,24.6592,,1966.6,0.0
10345,10/2016,105.41112966998575,2329.0504844481447,6.945,21.28194717083501,24.6205,,1966.6,0.0
10346,10/2016,58.00370397857744,1311.1845628493866,6.942500000000001,21.280486887459126,23.6479,,1966.6,0.0
10347,10/2016,-0.6509270903654325,-15.158627818115756,6.94,21.2788709483556,22.3711,False,1966.6,0.0
10348,10/2016,685.8155780319252,12070.750953948444,6.9275,21.27782759030552,33.9416,,1966.6,0.0
10349,10/2016,51.39659762008122,1163.280059136011,6.915,21.277407316742195,23.5696,,1966.6,0.0
10350,10/2016,154.9537449080071,3338.27759682706,6.9025,21.276992008514394,25.6477,,1966.6,0.0
